category,en,zh,definition,example,difficulty
general,apple,苹果,常见水果,A apple can help you.,1
general,banana,香蕉,黄色长形水果,The banana is important.,1
general,orange,橙子,橙色水果,I have a orange.,1
general,pear,梨,水果,The pear is important.,1
general,grape,葡萄,小颗粒水果,The grape is important.,1
general,watermelon,西瓜,大型夏季水果,This is a watermelon.,1
general,strawberry,草莓,红色小水果,The strawberry is important.,1
general,bread,面包,主食,The bread is important.,1
general,rice,米饭,亚洲主食,I have a rice.,1
general,noodle,面条,长条状食物,This is a noodle.,1
general,milk,牛奶,白色饮料,The milk is important.,1
general,egg,鸡蛋,常见食材,This is a egg.,1
general,meat,肉,食物总称,This is a meat.,1
general,chicken,鸡肉,常见肉类,This is a chicken.,1
general,fish,鱼,水产,I have a fish.,1
general,beef,牛肉,红色肉类,I have a beef.,1
general,pork,猪肉,常见肉类,This is a pork.,1
general,cake,蛋糕,甜点,The cake is important.,1
general,cookie,饼干,零食,This is a cookie.,1
general,chocolate,巧克力,甜食,I have a chocolate.,1
general,candy,糖果,甜食,This is a candy.,1
general,sugar,糖,调味品,A sugar can help you.,1
general,salt,盐,调味品,A salt can help you.,1
general,water,水,生命必需,A water can help you.,1
general,juice,果汁,饮料,The juice is important.,1
general,tea,茶,饮品,The tea is important.,1
general,coffee,咖啡,提神饮品,A coffee can help you.,1
general,soup,汤,液体食物,The soup is important.,1
general,salad,沙拉,蔬菜混合,This is a salad.,1
general,vegetable,蔬菜,植物食物,This is a vegetable.,1
general,tomato,番茄,红色蔬菜,I have a tomato.,1
general,potato,土豆,块茎类蔬菜,The potato is important.,1
general,carrot,胡萝卜,橙色根茎,A carrot can help you.,1
general,onion,洋葱,调味蔬菜,The onion is important.,1
general,cabbage,卷心菜,叶菜类,This is a cabbage.,1
general,pepper,辣椒,调味蔬菜,This is a pepper.,1
general,butter,黄油,奶制品,The butter is important.,1
general,cheese,奶酪,奶制品,A cheese can help you.,1
general,ice cream,冰淇淋,冷冻甜食,This is a ice cream.,1
general,breakfast,早餐,第一餐,This is a breakfast.,1
general,lunch,午餐,第二餐,A lunch can help you.,1
general,dinner,晚餐,最后一餐,A dinner can help you.,1
general,supper,晚饭,晚间餐,The supper is important.,1
general,meal,一餐,食物单位,The meal is important.,1
general,restaurant,餐厅,用餐场所,The restaurant is important.,1
general,kitchen,厨房,做饭房间,I have a kitchen.,1
general,fridge,冰箱,冷藏设备,I have a fridge.,1
general,cup,杯子,饮水器具,This is a cup.,1
general,glass,玻璃杯,透明杯子,I have a glass.,1
general,bowl,碗,餐具,The bowl is important.,1
general,plate,盘子,餐具,I have a plate.,1
general,fork,叉子,餐具,I have a fork.,1
general,spoon,勺子,餐具,This is a spoon.,1
general,knife,刀,切割工具,The knife is important.,1
general,chopsticks,筷子,东方餐具,A chopsticks can help you.,1
general,napkin,餐巾,擦拭用品,A napkin can help you.,1
general,family,家庭,亲属群体,I have a family.,1
general,father,父亲,爸爸,This is a father.,1
general,mother,母亲,妈妈,This is a mother.,1
general,parent,父母,双亲,I have a parent.,1
general,brother,兄弟,哥哥弟弟,A brother can help you.,1
general,sister,姐妹,姐姐妹妹,A sister can help you.,1
general,son,儿子,男性孩子,I have a son.,1
general,daughter,女儿,女性孩子,The daughter is important.,1
general,child,孩子,儿童,The child is important.,1
general,baby,婴儿,幼童,This is a baby.,1
general,boy,男孩,男性儿童,I have a boy.,1
general,girl,女孩,女性儿童,The girl is important.,1
general,man,男人,成年男性,The man is important.,1
general,woman,女人,成年女性,I have a woman.,1
general,grandfather,祖父,爷爷外公,This is a grandfather.,1
general,grandmother,祖母,奶奶外婆,This is a grandmother.,1
general,grandpa,爷爷,祖父昵称,The grandpa is important.,1
general,grandma,奶奶,祖母昵称,A grandma can help you.,1
general,uncle,叔叔,父辈男性,The uncle is important.,1
general,aunt,阿姨,母辈女性,This is a aunt.,1
general,cousin,堂表亲,姑姨子女,I have a cousin.,1
general,friend,朋友,好友,The friend is important.,1
general,classmate,同学,同班同学,The classmate is important.,1
general,teacher,老师,教育者,A teacher can help you.,1
general,student,学生,学习者,I have a student.,1
general,doctor,医生,医疗工作者,This is a doctor.,1
general,nurse,护士,护理工作者,This is a nurse.,1
general,police,警察,执法人员,A police can help you.,1
general,driver,司机,驾驶者,A driver can help you.,1
general,farmer,农民,农业工作者,This is a farmer.,1
general,worker,工人,劳动者,The worker is important.,1
general,cook,厨师,烹饪者,This is a cook.,1
general,singer,歌手,歌唱者,I have a singer.,1
general,dancer,舞者,舞蹈者,A dancer can help you.,1
general,player,选手,运动员,I have a player.,1
general,star,明星,名人,The star is important.,1
general,hero,英雄,英雄人物,I have a hero.,1
general,body,身体,躯体,The body is important.,1
general,head,头,身体顶部,The head is important.,1
general,face,脸,面部,I have a face.,1
general,eye,眼睛,视觉器官,A eye can help you.,1
general,ear,耳朵,听觉器官,A ear can help you.,1
general,nose,鼻子,嗅觉器官,A nose can help you.,1
general,mouth,嘴巴,说话进食,I have a mouth.,1
general,tooth,牙齿,咀嚼器官,I have a tooth.,1
general,tongue,舌头,味觉器官,A tongue can help you.,1
general,hair,头发,头部毛发,The hair is important.,1
general,neck,脖子,头部与身体连接,I have a neck.,1
general,shoulder,肩膀,上肢连接处,I have a shoulder.,1
general,arm,手臂,上肢,The arm is important.,1
general,hand,手,上肢末端,I have a hand.,1
general,finger,手指,手部分支,The finger is important.,1
